ziua,data,siloz,greutate,hala,buncar
13/10/2018,10:02,2,2072,11,2
13/10/2018,10:29,2,2072,3,1
13/10/2018,10:59,0,0,3,2
13/10/2018,11:07,2,1077,3,2
13/10/2018,11:23,3,1077,9,2
15/10/2018,07:57,6,3054,5,1
15/10/2018,08:20,2,3862,3,1
15/10/2018,08:43,2,3862,3,2
15/10/2018,09:12,1,3888,9,3
15/10/2018,09:36,1,3888,9,2
15/10/2018,10:01,1,3849,9,1
15/10/2018,10:23,1,2621,9,4
15/10/2018,10:48,1,3832,7,1
15/10/2018,11:05,1,3832,7,2
15/10/2018,11:24,2,3065,11,1
15/10/2018,11:42,2,3065,11,2
15/10/2018,11:56,6,2073,6,2
15/10/2018,12:09,6,2017,6,1
15/10/2018,13:26,6,2028,4,1
15/10/2018,13:42,6,2028,5,1
15/10/2018,14:15,2,3859,3,1
15/10/2018,14:51,2,1989,3,2
16/10/2018,07:20,1,1989,9,4
16/10/2018,08:47,0,2117,9,3
16/10/2018,09:03,1,2117,9,2
16/10/2018,09:21,1,2046,9,1
16/10/2018,09:49,6,2046,5,1
16/10/2018,10:10,6,1932,5,2
16/10/2018,10:37,1,1932,7,1
16/10/2018,11:06,1,1866,7,1
17/10/2018,07:29,2,1866,3,1
17/10/2018,07:54,2,2087,11,3
17/10/2018,08:05,6,2030,11,3
17/10/2018,08:27,6,2023,11,4
17/10/2018,09:15,3,2023,7,2
17/10/2018,09:37,2,3886,11,1
17/10/2018,10:02,2,3886,11,2
17/10/2018,11:12,2,2088,3,2
17/10/2018,12:17,2,2961,3,1
17/10/2018,13:55,6,1964,4,1
17/10/2018,15:11,1,2122,7,1
18/10/2018,07:34,1,3988,9,1
18/10/2018,07:56,1,3988,9,2
18/10/2018,08:24,1,3979,9,4
18/10/2018,08:45,2,3979,3,1
18/10/2018,09:05,2,3075,3,2
18/10/2018,09:55,6,3075,10,1
18/10/2018,10:19,6,1921,5,1
18/10/2018,10:48,1,2965,9,3
18/10/2018,11:12,1,2153,7,2
18/10/2018,11:32,2,2153,11,2
18/10/2018,11:50,1,2160,9,1
18/10/2018,12:10,1,2150,9,2
18/10/2018,12:26,1,2150,9,4
18/10/2018,12:46,2,1981,3,1
18/10/2018,14:28,2,1968,3,2
18/10/2018,15:30,2,1853,11,1
18/10/2018,15:50,6,1959,11,4
19/10/2018,07:54,2,7,11,3
19/10/2018,08:07,6,1965,5,1
19/10/2018,08:27,6,1970,5,2
19/10/2018,08:43,6,1970,6,2
19/10/2018,09:37,6,1971,6,1
19/10/2018,09:53,1,2125,7,2
20/10/2018,11:37,1,2107,7,2
24/10/2018,12:35,6,1982,6,1
24/10/2018,12:51,6,1981,6,1
27/10/2018,08:10,3,3880,3,1
27/10/2018,09:18,2,3880,3,2
27/10/2018,09:45,1,2207,9,1
27/10/2018,09:59,3,2066,9,2
27/10/2018,10:16,3,2090,9,3
27/10/2018,10:36,3,2090,9,4
27/10/2018,10:55,6,1978,6,1
27/10/2018,11:10,2,2084,11,1
27/10/2018,11:25,2,2076,11,2
27/10/2018,11:39,2,2075,3,2
